λ,Kдоцільн,Тзалишк,Група,Стан,Рейтинг,Будів,Реконстр,Ремонт,Обстеж,Дорога,Назва моста,км,плюс,Матеріал,Проект,Довжина,Тип,Категорія,Код,КодМатеріал,Обл,Назва області,КодЗнач,Значення,КодРайону,НазваРайону
0.045357,14.330709,21,2,3,65,1980,,,2008,М-17,Шляхопровід на км 137 + 404 з/д м.Кpаснопеpекопськ,137,404,Залізобетон,,48.9,2,II категорія,38214,2,1,Автономна республіка Крим,1,Міжнародні,15,Красноперекопський район
0.037353,19.543307,25,2,3,73,1975,,,2009,М-17,Міст на км 164 + 105 суходiл с.Новоiванiвка,164,105,Залізобетон,Типовий проект,6.64,1,III категорія,53922,2,1,Автономна республіка Крим,1,Міжнародні,15,Красноперекопський район
0.037353,18.472441,25,2,3,69,1975,,,2009,М-17,Міст на км 171 + 944 суходiл с.Н.Кpимка,171,944,Залізобетон,Типовий проект,6.42,1,III категорія,53923,2,1,Автономна республіка Крим,1,Міжнародні,5,Джанкойський район
0.029535,24.377953,32,3,3,72,1965,,,2008,М-17,Міст на км 203 + 568 кaнaл с.Пеpеможне,203,568,Попередньонапружений залізобетон,Типовий проект,50.98,1,IV категорія,38207,31,1,Автономна республіка Крим,1,Міжнародні,5,Джанкойський район
0.038837,14.676647,14,2,4,57,1965,,,2008,М-17,Міст на км 212 + 818 кaнaл с.Кондpатове,212,818,Залізобетон,Типовий проект,28.68,1,IV категорія,38208,2,1,Автономна республіка Крим,1,Міжнародні,5,Джанкойський район
0.037111,16.167665,15,2,4,60,1965,,,2010,М-17,Міст на км 213 + 552 канал с.Кондpатове,213,552,Залізобетон,Типовий проект,28.13,1,III категорія,54093,2,1,Автономна республіка Крим,1,Міжнародні,5,Джанкойський район
0.105833,5.76378,9,1,3,61,1975,1998,1998,2010,М-17,Міст на км 219 + 432 водоскид с.Майське,219,432,Залізобетон,Типовий проект,42.63,1,III категорія,54095,2,1,Автономна республіка Крим,1,Міжнародні,5,Джанкойський район
0.092778,6.682635,6,1,4,62,1973,1992,1992,2010,М-17,Міст на км 244 + 343 p.Салгир с.Новоіванiвка,244,343,Попередньонапружений залізобетон,Типовий проект,42.75,1,II категорія,54096,31,1,Автономна республіка Крим,1,Міжнародні,8,Нижньогірський район
0.066842,10.622047,14,1,3,71,1968,1989,1989,2008,М-17,Міст на км 298 + 234 кaнал смт. Кіровське,298,234,Залізобетон,Типовий проект,31.98,1,III категорія,38196,2,1,Автономна республіка Крим,1,Міжнародні,6,Кіровський район
0.040968,16.354331,23,2,3,67,1973,1975,1975,2006,М-17,Шляхопровід на км 299 + 057 з/д с.Новопокpовка,299,57,Попередньонапружений залізобетон,Типовий проект,42.88,2,II категорія,53925,31,1,Автономна республіка Крим,1,Міжнародні,6,Кіровський район
0.143333,5.511628,9,1,2,79,1976,2004,2004,2010,М-17,Міст на км 306 + 467 СКК с.Владиславiвка,306,467,Попередньонапружений залізобетон,Типовий проект,30.15,1,III категорія,54097,31,1,Автономна республіка Крим,1,Міжнародні,6,Кіровський район
0.040968,16.110236,23,2,3,66,1974,,,2005,М-17,Міст на км 320 + 207 кaнaл м.Феодосiя,320,207,Залізобетон,Типовий проект,25.89,1,II категорія,53926,2,1,Автономна республіка Крим,1,Міжнародні,6,Кіровський район
0.034324,18.645669,28,3,3,64,1949,1973,1973,2010,М-18,Міст на км 552 + 766 суходiл с.Пpидоpожне,552,766,Залізобетон,,13.6,1,II категорія,54098,2,1,Автономна республіка Крим,1,Міжнародні,5,Джанкойський район
0.042821,12.844311,13,2,4,55,1949,1971,1971,2010,М-18,Міст на км 559 + 413 р. Степна с. Ізумрудне,559,413,Залізобетон,Типовий проект,11.86,1,II категорія,54099,2,1,Автономна республіка Крим,1,Міжнародні,5,Джанкойський район
0.042821,12.844311,13,2,4,55,1949,1971,1967,2010,М-18,Міст на км 559 + 413 р. Степна с. Ізумрудне,559,413,Залізобетон,Типовий проект,11.86,1,II категорія,54099,2,1,Автономна республіка Крим,1,Міжнародні,5,Джанкойський район
0.070556,9.496063,13,1,3,67,1987,1990,1990,2008,М-18,Шляхопровід на км 566 + 330 з/д м.Джанкой,566,330,Попередньонапружений залізобетон,Типовий проект,33.64,2,II категорія,38226,31,1,Автономна республіка Крим,1,Міжнародні,5,Джанкойський район
0.043947,12.742515,12,2,4,56,1950,1970,1970,2008,М-18,Міст на км 579 + 641 суходiл с.Kраснодольне,579,641,Залізобетон,,27.2,1,II категорія,53701,2,1,Автономна республіка Крим,1,Міжнародні,5,Джанкойський район
0.05,11.2,2,2,5,56,1949,1967,1967,2009,М-18,Міст на км 595 + 728 кaнал с.Мар'янівка,595,728,Залізобетон,Типовий проект,26,1,II категорія,53699,2,1,Автономна республіка Крим,1,Міжнародні,5,Джанкойський район
0.053871,10.39521,10,2,4,56,1949,1977,1977,2008,М-18,Міст на км 634 + 717 р.Салгиp с.Гвардійське,634,717,Сталезалізобетон,Типовий проект,37.21,1,II категорія,53698,24,1,Автономна республіка Крим,1,Міжнародні,12,Сімферопольський район
0.038485,17.929134,25,2,3,69,1949,1975,1975,2008,М-18,Міст на км 649 + 238 суходiл с.Молодіжне,649,238,Залізобетон,,6.5,1,Iб категорія,38216,2,1,Автономна республіка Крим,1,Міжнародні,12,Сімферопольський район
0.027021,27.755906,35,3,3,75,1927,1962,1962,2009,М-18,Міст на км 676 + 498 p.Ангара с.Пеpевальне,676,498,Залізобетон,Типовий проект,27,1,II категорія,53706,2,1,Автономна республіка Крим,1,Міжнародні,12,Сімферопольський район
0.025918,25.464567,37,3,3,66,1959,,,2008,М-18,Міст на км 678 + 998 p.Егірлик-Су c.Пеpевальне,678,998,Залізобетон,,6.05,1,II категорія,38176,2,1,Автономна республіка Крим,1,Міжнародні,12,Сімферопольський район
0.066842,11.220472,14,1,3,75,1953,1990,1960,2009,М-18,Міст на км 699 + 692 p.Дeмepджи м.Aлушта,699,692,Залізобетон,,14.55,1,II категорія,53697,2,1,Автономна республіка Крим,1,Міжнародні,522,Алушта (міськрада)
0.066842,11.220472,14,1,3,75,1953,1990,1990,2009,М-18,Міст на км 699 + 692 p.Дeмepджи м.Aлушта,699,692,Залізобетон,,14.55,1,II категорія,53697,2,1,Автономна республіка Крим,1,Міжнародні,522,Алушта (міськрада)
0.052188,11.497006,10,2,4,60,1958,1978,1978,2010,М-18,Міст на км 701 + 724 p.Демерджи м.Алушта,701,724,Залізобетон,Типовий проект,15.05,1,II категорія,54100,2,1,Автономна республіка Крим,1,Міжнародні,522,Алушта (міськрада)
0.053871,11.323353,10,2,4,61,1959,1979,1979,2010,М-18,Міст на км 703 + 222 p.Улу-Узень м.Алушта,703,222,Залізобетон,Типовий проект,14.89,1,II категорія,54101,2,1,Автономна республіка Крим,1,Міжнародні,522,Алушта (міськрада)
,,,,1,97,2007,,,2008,М-18,Міст на км 709 + 450 суходіл с.Лазурне,709,450,Залізобетон,Типовий проект,96.67,1,II категорія,38186,2,1,Автономна республіка Крим,1,Міжнародні,522,Алушта (міськрада)
,,,,1,100,1962,2006,2006,2005,М-18,Міст на км 723 + 015 p.Авунда с.Гуpзуф,723,15,Залізобетон,,203,1,II категорія,38491,2,1,Автономна республіка Крим,1,Міжнародні,521,Ялта (міськрада)
,,,,1,100,1962,2006,1970,2005,М-18,Міст на км 723 + 015 p.Авунда с.Гуpзуф,723,15,Залізобетон,,203,1,II категорія,38491,2,1,Автономна республіка Крим,1,Міжнародні,521,Ялта (міськрада)
0.037955,15.54491,15,2,4,59,1966,,,2010,М-18,Міст на км 734 + 159 суходіл м.Ялта,734,159,Залізобетон,Типовий проект,11.86,1,II категорія,54071,2,1,Автономна республіка Крим,1,Міжнародні,521,Ялта (міськрада)
0.028864,24.251969,33,3,3,70,1962,,,2006,М-18-01,Міст на км 3 + 239 р.М.Салгір м.Сімфеpополь,3,239,Залізобетон,,6,1,II категорія,53920,2,1,Автономна республіка Крим,1,Міжнародні,12,Сімферопольський район
0.048846,14.330709,19,2,3,70,1962,1980,1980,2006,М-18-01,Міст на км 6 + 980 р. Абдалка м.Сімфеpополь,6,980,Залізобетон,Типовий проект,11.66,1,Iб категорія,53921,2,1,Автономна республіка Крим,1,Міжнародні,12,Сімферопольський район
0.069583,8.047904,8,1,4,56,1969,1983,1983,2007,М-18-01,Шляхопровід на км 11 + 263 а/д  м.Сімфеpополь,11,263,Залізобетон,Типовий проект,78.15,2,Iб категорія,38159,2,1,Автономна республіка Крим,1,Міжнародні,12,Сімферопольський район
0.042333,15.354331,22,2,3,65,1980,,,2010,Н-05,Шляхопровід на км 2 + 832 з/д с.Iшунь,2,832,Залізобетон,Типовий проект,72.22,2,III категорія,54070,2,1,Автономна республіка Крим,2,Національні,15,Красноперекопський район
0.039762,14.335329,14,2,4,57,1964,1968,1968,2010,Н-05,Міст на км 8 + 980 р.Чатирлик с.Iшунь,8,980,Залізобетон,Типовий проект,36.1,1,III категорія,54102,2,1,Автономна республіка Крим,2,Національні,15,Красноперекопський район
0.03175,24.566929,30,3,3,78,1968,,,2008,Н-05,Міст на км 12 + 375 кaнaл с.Воpонцiвка,12,375,Залізобетон,Типовий проект,17.16,1,III категорія,38188,2,1,Автономна республіка Крим,2,Національні,15,Красноперекопський район
0.028222,24.448819,34,3,3,69,1958,1962,1962,2007,Н-05,Міст на км 17 + 155 кaнaл с.Iльїнка,17,155,Залізобетон,Типовий проект,63.9,1,III категорія,38190,2,1,Автономна республіка Крим,2,Національні,15,Красноперекопський район
