Довжина,Категорія,Обл,ВікБуд,ВікРем,Стан
48.9,2,1,28.0,28.0,3
6.64,3,1,34.0,34.0,3
6.42,3,1,34.0,34.0,3
28.68,4,1,43.0,43.0,4
28.13,3,1,45.0,45.0,4
42.63,3,1,35.0,12.0,3
31.98,3,1,40.0,19.0,3
25.89,2,1,31.0,31.0,3
13.6,2,1,61.0,37.0,3
11.86,2,1,61.0,39.0,4
11.86,2,1,61.0,39.0,4
27.2,2,1,58.0,38.0,4
26.0,2,1,60.0,42.0,5
6.5,1,1,59.0,33.0,3
27.0,2,1,82.0,47.0,3
6.05,2,1,49.0,49.0,3
14.55,2,1,56.0,19.0,3
14.55,2,1,56.0,19.0,3
15.05,2,1,52.0,32.0,4
14.89,2,1,51.0,31.0,4
96.67,2,1,1.0,1.0,1
203.0,2,1,43.0,1.0,1
203.0,2,1,43.0,1.0,1
11.86,2,1,44.0,44.0,4
6.0,2,1,44.0,44.0,3
11.66,1,1,44.0,26.0,3
78.15,1,1,38.0,24.0,4
72.22,3,1,30.0,30.0,3
36.1,3,1,46.0,42.0,4
17.16,3,1,40.0,40.0,3
63.9,3,1,49.0,45.0,3
31.83,2,1,49.0,37.0,3
17.26,3,1,51.0,40.0,3
23.3,1,1,49.0,37.0,3
50.85,2,1,90.0,39.0,3
50.85,2,1,90.0,39.0,3
11.0,2,1,43.0,43.0,3
12.26,3,1,127.0,36.0,4
24.16,2,1,57.0,35.0,4
34.54,2,1,46.0,23.0,3
12.0,2,1,44.0,44.0,2
12.0,2,1,43.0,43.0,3
12.0,2,1,47.0,47.0,3
34.68,3,1,47.0,47.0,3
46.3,3,1,49.0,49.0,1
18.65,3,1,56.0,1.0,1
9.06,3,1,48.0,34.0,3
9.16,3,1,40.0,40.0,2
17.16,3,1,41.0,41.0,3
9.06,3,1,39.0,28.0,3
6.0,3,1,42.0,23.0,3
36.82,3,1,60.0,25.0,3
72.5,3,1,45.0,25.0,3
29.6,3,1,39.0,39.0,3
126.3,3,1,16.0,16.0,3
18.8,5,1,35.0,35.0,3
49.0,4,1,18.0,18.0,3
39.6,4,1,18.0,18.0,3
43.38,4,1,40.0,40.0,4
45.58,4,1,27.0,6.0,3
13.5,4,1,51.0,51.0,3
28.63,4,1,43.0,43.0,3
6.1,2,2,44.0,30.0,1
24.0,2,2,19.0,12.0,2
13.0,2,2,43.0,43.0,1
6.0,2,2,75.0,37.0,2
178.3,3,2,34.0,2.0,1
67.7,2,2,34.0,2.0,1
117.5,2,2,34.0,34.0,3
42.2,2,2,32.0,32.0,3
84.4,2,2,29.0,29.0,4
12.0,2,2,97.0,21.0,3
12.0,2,2,53.0,23.0,3
126.75,3,2,53.0,17.0,1
11.55,3,2,46.0,24.0,1
253.2,3,2,50.0,3.0,1
35.5,1,2,49.0,27.0,3
12.0,1,2,49.0,19.0,2
6.0,2,2,49.0,38.0,3
15.86,2,2,38.0,38.0,4
36.0,1,2,41.0,24.0,4
48.0,2,2,44.0,25.0,3
35.55,3,2,67.0,26.0,3
45.0,3,2,69.0,26.0,4
40.49,3,2,69.0,29.0,3
36.0,3,2,69.0,29.0,3
13.3,3,2,67.0,67.0,3
37.51,3,2,67.0,67.0,3
17.94,3,2,67.0,67.0,3
39.72,2,2,67.0,67.0,3
24.64,3,2,69.0,69.0,3
43.2,3,2,67.0,67.0,4
10.0,3,2,92.0,92.0,2
12.0,2,2,46.0,8.0,3
12.0,2,2,79.0,22.0,3
24.0,3,2,52.0,22.0,3
6.0,2,2,44.0,36.0,5
50.51,3,2,44.0,19.0,3
42.3,3,2,95.0,27.0,2
72.4,3,2,24.0,24.0,4
12.18,3,2,43.0,43.0,4
8.02,3,2,51.0,38.0,3
5.79,3,2,56.0,38.0,3
22.14,3,2,38.0,38.0,3
8.54,3,2,43.0,43.0,2
5.08,3,2,38.0,38.0,3
6.0,3,2,55.0,33.0,3
12.03,3,2,41.0,41.0,3
18.12,3,2,41.0,41.0,3
42.1,3,2,31.0,31.0,3
153.7,3,2,69.0,3.0,1
153.7,3,2,69.0,3.0,1
53.6,3,2,31.0,31.0,3
6.0,2,2,57.0,57.0,4
6.0,2,2,52.0,52.0,4
12.3,2,2,31.0,31.0,3
6.0,3,2,53.0,24.0,3
44.6,3,2,43.0,43.0,3
133.5,3,2,43.0,43.0,3
9.0,3,2,24.0,24.0,3
25.98,3,2,51.0,51.0,3
50.38,3,2,44.0,44.0,4
6.0,3,2,43.0,34.0,3
50.28,3,2,42.0,42.0,3
6.0,3,2,34.0,34.0,3
42.0,3,2,43.0,43.0,3
16.15,3,2,80.0,43.0,3
6.0,3,2,45.0,45.0,4
18.9,3,2,80.0,37.0,3
45.5,3,2,43.0,43.0,5
34.08,3,2,40.0,40.0,4
4.0,3,2,43.0,43.0,3
8.0,3,2,48.0,27.0,3
18.44,2,2,82.0,48.0,3
7.0,3,2,46.0,46.0,3
101.0,3,2,44.0,44.0,5
2.35,2,2,50.0,50.0,3
5.0,3,2,56.0,56.0,3
6.0,3,2,52.0,52.0,3
6.0,3,2,45.0,45.0,3
8.36,2,2,53.0,53.0,3
8.23,2,2,68.0,30.0,4
5.0,3,2,57.0,38.0,3
6.0,3,2,57.0,41.0,3
84.0,3,2,43.0,43.0,1
53.59,3,2,53.0,25.0,3
61.22,3,2,35.0,35.0,3
5.97,3,2,55.0,35.0,3
6.12,3,2,58.0,25.0,3
8.0,3,2,58.0,58.0,3
14.36,3,2,30.0,30.0,3
48.15,3,2,29.0,29.0,3
24.0,3,2,72.0,34.0,3
6.0,3,2,78.0,34.0,3
17.9,3,2,47.0,47.0,3
48.71,3,2,29.0,29.0,3
75.0,3,2,72.0,72.0,3
69.1,4,2,42.0,42.0,4
33.05,3,2,40.0,20.0,3
9.5,3,2,50.0,50.0,3
18.05,4,2,43.0,43.0,3
4.91,3,2,45.0,33.0,3
9.1,3,2,46.0,29.0,4
5.94,3,2,43.0,43.0,3
3.8,3,2,46.0,46.0,3
18.4,3,2,63.0,37.0,5
9.9,3,2,44.0,44.0,3
5.0,3,2,44.0,44.0,3
14.91,3,2,46.0,30.0,3
24.2,3,2,51.0,51.0,3
5.8,3,2,34.0,34.0,3
48.15,3,2,46.0,16.0,3
6.5,3,2,38.0,38.0,3
6.0,2,2,35.0,35.0,3
9.0,2,2,31.0,31.0,3
6.8,3,2,68.0,68.0,3
14.8,3,2,68.0,68.0,3
17.1,3,2,69.0,69.0,3
14.08,4,2,69.0,69.0,3
17.1,2,2,70.0,70.0,3
17.1,2,2,68.0,68.0,3
13.9,2,2,69.0,69.0,3
16.9,2,2,69.0,69.0,3
46.7,2,2,70.0,6.0,2
23.47,2,2,24.0,24.0,3
5.0,3,2,82.0,56.0,3
5.0,3,2,76.0,24.0,3
13.0,4,2,2007.0,2007.0,3
9.0,4,2,45.0,26.0,3
12.0,4,2,45.0,45.0,4
3.58,4,2,48.0,48.0,4
13.2,4,2,0.0,0.0,1
30.17,3,3,32.0,32.0,3
101.6,3,3,32.0,1.0,1
11.68,3,3,37.0,,3
50.4,3,3,38.0,38.0,3
42.18,3,3,38.0,38.0,4
15.1,3,3,40.0,18.0,3
74.27,3,3,41.0,41.0,4
34.2,3,3,42.0,42.0,3
42.1,1,3,2.0,2.0,3
24.0,1,3,42.0,12.0,2
12.15,2,3,42.0,29.0,3
4.0,2,3,43.0,30.0,3
27.0,3,3,47.0,29.0,3
34.7,2,3,47.0,22.0,2
6.35,2,3,103.0,37.0,3
6.35,2,3,103.0,31.0,3
4.9,2,3,81.0,31.0,3
6.0,2,3,81.0,31.0,3
6.0,2,3,74.0,39.0,3
18.05,2,3,47.0,29.0,3
6.0,2,3,100.0,40.0,3
6.0,2,3,100.0,40.0,3
7.28,2,3,43.0,43.0,3
6.4,2,3,37.0,37.0,2
6.0,2,3,73.0,42.0,4
6.0,2,3,41.0,28.0,3
6.0,2,3,41.0,41.0,3
30.1,2,3,28.0,28.0,2
18.4,2,3,44.0,29.0,3
6.0,2,3,65.0,54.0,4
30.1,2,3,47.0,31.0,3
88.67,2,3,22.0,22.0,3
107.2,2,3,22.0,22.0,3
12.0,2,3,64.0,40.0,3
8.94,2,3,52.0,25.0,2
18.0,3,3,52.0,31.0,4
